epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,735.39,0.48513,0.61048,0.10965,0.79333,0.68703,0.76472,0.47237,0.45131,0.65125,0.12702,0.00221196,0.000737321,0.00221196,0.000737321,0.00221196,0.000737321,0.00221196,0.000737321
31,757.77,0.47288,0.59664,0.1065,0.68016,0.77726,0.76036,0.47859,0.45499,0.64669,0.12599,0.00215893,0.000719643,0.00215893,0.000719643,0.00215893,0.000719643,0.00215893,0.000719643
32,783.028,0.4658,0.59872,0.10672,0.71099,0.81953,0.76642,0.49178,0.44928,0.6362,0.12602,0.00210589,0.000701964,0.00210589,0.000701964,0.00210589,0.000701964,0.00210589,0.000701964
33,808.615,0.47272,0.58617,0.10663,0.7313,0.78382,0.76875,0.48403,0.44549,0.65451,0.12304,0.00205286,0.000684286,0.00205286,0.000684286,0.00205286,0.000684286,0.00205286,0.000684286
34,830.486,0.47469,0.56613,0.10998,0.71387,0.79634,0.75614,0.47927,0.46813,0.63644,0.13013,0.00199982,0.000666607,0.00199982,0.000666607,0.00199982,0.000666607,0.00199982,0.000666607
35,852.676,0.45029,0.54825,0.10256,0.75425,0.79283,0.76067,0.47165,0.47534,0.64003,0.13221,0.00194679,0.000648929,0.00194679,0.000648929,0.00194679,0.000648929,0.00194679,0.000648929
36,875.229,0.4614,0.53506,0.11146,0.7459,0.77109,0.76563,0.4708,0.43481,0.68882,0.11871,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
37,898.055,0.48323,0.56177,0.1151,0.75085,0.73268,0.7562,0.47336,0.47272,0.66574,0.14226,0.00184071,0.000613571,0.00184071,0.000613571,0.00184071,0.000613571,0.00184071,0.000613571
38,921.923,0.43947,0.535,0.09394,0.79584,0.76807,0.7665,0.47315,0.48244,0.66813,0.14278,0.00178768,0.000595893,0.00178768,0.000595893,0.00178768,0.000595893,0.00178768,0.000595893
39,944.648,0.47071,0.53446,0.10607,0.79681,0.78867,0.77185,0.48157,0.4578,0.6805,0.12936,0.00173464,0.000578214,0.00173464,0.000578214,0.00173464,0.000578214,0.00173464,0.000578214
40,967.347,0.45451,0.52012,0.09872,0.7828,0.76438,0.7693,0.4791,0.45086,0.68942,0.12914,0.00168161,0.000560536,0.00168161,0.000560536,0.00168161,0.000560536,0.00168161,0.000560536
41,990.621,0.44315,0.51193,0.10453,0.75062,0.81953,0.77328,0.48808,0.45042,0.64474,0.12647,0.00162857,0.000542857,0.00162857,0.000542857,0.00162857,0.000542857,0.00162857,0.000542857
42,1013.61,0.44674,0.52176,0.10205,0.79135,0.79808,0.78653,0.49046,0.4532,0.65383,0.12596,0.00157554,0.000525179,0.00157554,0.000525179,0.00157554,0.000525179,0.00157554,0.000525179
43,1036.44,0.44186,0.50625,0.0973,0.79475,0.80168,0.79191,0.49411,0.45576,0.63571,0.12741,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
44,1060.53,0.47648,0.5075,0.10789,0.75446,0.8189,0.7876,0.48891,0.48892,0.59291,0.13994,0.00146946,0.000489821,0.00146946,0.000489821,0.00146946,0.000489821,0.00146946,0.000489821
45,1081.5,0.42818,0.49085,0.09928,0.7661,0.80097,0.78771,0.48568,0.49233,0.60029,0.14173,0.00141643,0.000472143,0.00141643,0.000472143,0.00141643,0.000472143,0.00141643,0.000472143
46,1103.73,0.45644,0.51083,0.10392,0.81727,0.76332,0.7902,0.48805,0.48716,0.61399,0.14082,0.00136339,0.000454464,0.00136339,0.000454464,0.00136339,0.000454464,0.00136339,0.000454464
47,1126.03,0.4449,0.5082,0.10448,0.73575,0.82959,0.78069,0.47147,0.47946,0.62852,0.14155,0.00131036,0.000436786,0.00131036,0.000436786,0.00131036,0.000436786,0.00131036,0.000436786
48,1148.81,0.43952,0.50706,0.09301,0.76258,0.79534,0.78168,0.47462,0.48205,0.66989,0.14491,0.00125732,0.000419107,0.00125732,0.000419107,0.00125732,0.000419107,0.00125732,0.000419107
