epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,507.675,1.34903,0.79333,0.00475,0.72488,0.59886,0.65953,0.38283,1.78903,1.53981,0.00854,0.000525179,0.000525179,0.000525179
43,519.206,1.34578,0.79344,0.00501,0.55162,0.63173,0.62888,0.3819,1.7813,1.81363,0.00837,0.0005075,0.0005075,0.0005075
44,530.978,1.37902,0.77582,0.0049,0.63131,0.63869,0.63254,0.36589,1.80251,1.62052,0.00848,0.000489821,0.000489821,0.000489821
45,541.985,1.33799,0.74012,0.0045,0.6015,0.61803,0.61743,0.38055,1.71816,1.53114,0.00807,0.000472143,0.000472143,0.000472143
46,552.992,1.28897,0.74771,0.00522,0.61289,0.6524,0.666,0.39265,1.74225,1.53396,0.00817,0.000454464,0.000454464,0.000454464
47,564.474,1.31007,0.73525,0.00469,0.60241,0.69224,0.64691,0.39775,1.7028,1.55129,0.00814,0.000436786,0.000436786,0.000436786
48,575.829,1.24539,0.74099,0.0049,0.65565,0.60068,0.6384,0.37615,1.69441,1.63647,0.00813,0.000419107,0.000419107,0.000419107
49,587.605,1.27713,0.73364,0.0047,0.67744,0.67612,0.67432,0.40468,1.66098,1.58091,0.00784,0.000401429,0.000401429,0.000401429
50,599.142,1.25932,0.66686,0.00455,0.68605,0.65706,0.67418,0.40759,1.64177,1.55906,0.00769,0.00038375,0.00038375,0.00038375
51,611.451,1.2703,0.68798,0.00471,0.71073,0.61086,0.65621,0.38195,1.65131,1.55469,0.00743,0.000366071,0.000366071,0.000366071
52,622.815,1.27182,0.67958,0.00451,0.71604,0.58803,0.65773,0.38738,1.71501,1.57395,0.00796,0.000348393,0.000348393,0.000348393
53,633.596,1.2156,0.60515,0.00428,0.71685,0.60962,0.65668,0.39463,1.73203,1.55673,0.00801,0.000330714,0.000330714,0.000330714
54,644.459,1.19224,0.58896,0.00406,0.6055,0.65166,0.64525,0.41248,1.72927,1.57243,0.00799,0.000313036,0.000313036,0.000313036
55,658.824,1.23204,0.61208,0.00424,0.60684,0.66818,0.672,0.41782,1.70303,1.6136,0.00782,0.000295357,0.000295357,0.000295357
56,673.115,1.19311,0.61317,0.00444,0.64321,0.67521,0.67228,0.42498,1.67849,1.60955,0.00769,0.000277679,0.000277679,0.000277679
57,686.113,1.20546,0.57928,0.00397,0.61346,0.66446,0.66178,0.42621,1.68519,1.62185,0.0079,0.00026,0.00026,0.00026
58,699.308,1.15848,0.55869,0.00419,0.59932,0.69216,0.65308,0.40562,1.72387,1.58953,0.00808,0.000242321,0.000242321,0.000242321
59,710.473,1.17839,0.56205,0.00427,0.67218,0.61547,0.64673,0.39784,1.67806,1.60092,0.00782,0.000224643,0.000224643,0.000224643
60,721.992,1.12307,0.50663,0.00399,0.69673,0.53999,0.64557,0.40899,1.64475,1.61652,0.00761,0.000206964,0.000206964,0.000206964
61,733.897,1.11846,0.45943,0.00456,0.65605,0.61395,0.66172,0.42577,1.62774,1.67763,0.00748,0.000189286,0.000189286,0.000189286
62,745.245,1.06756,0.47431,0.00402,0.62,0.6652,0.68369,0.43369,1.65736,1.68906,0.00758,0.000171607,0.000171607,0.000171607
63,759.571,1.04506,0.45464,0.0041,0.6526,0.66318,0.69526,0.4337,1.66395,1.63774,0.00766,0.000153929,0.000153929,0.000153929
64,773.382,1.09154,0.4791,0.00466,0.64444,0.69197,0.69816,0.44697,1.64093,1.53845,0.00749,0.00013625,0.00013625,0.00013625
65,787.076,1.07483,0.44125,0.00439,0.65901,0.62642,0.68451,0.43325,1.65218,1.56075,0.00746,0.000118571,0.000118571,0.000118571
66,798.292,1.05051,0.45177,0.00416,0.65143,0.62237,0.66819,0.4157,1.65391,1.59695,0.00747,0.000100893,0.000100893,0.000100893
67,809.808,1.01347,0.43661,0.00398,0.64356,0.60911,0.66548,0.42108,1.63836,1.64139,0.00742,8.32143e-05,8.32143e-05,8.32143e-05
68,821.029,1.03336,0.4411,0.00409,0.71348,0.55135,0.67994,0.43336,1.62824,1.66232,0.00739,6.55357e-05,6.55357e-05,6.55357e-05
69,832.496,1.04517,0.45985,0.00431,0.71319,0.54768,0.68306,0.43498,1.63276,1.64892,0.00739,4.78571e-05,4.78571e-05,4.78571e-05
70,844.545,1.04708,0.46032,0.00425,0.73457,0.54054,0.68262,0.43467,1.63659,1.63329,0.00739,3.01786e-05,3.01786e-05,3.01786e-05
