epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,481.592,1.35233,0.90601,0.00549,0.60416,0.54463,0.60888,0.35875,1.81481,1.54341,0.00895,0.000742625,0.000742625,0.000742625
43,492.368,1.44557,0.93137,0.00539,0.69065,0.58571,0.645,0.38415,1.82595,1.45246,0.00866,0.00073025,0.00073025,0.00073025
44,504.543,1.4183,0.8963,0.00546,0.62604,0.53565,0.57567,0.32703,1.83876,1.67665,0.00877,0.000717875,0.000717875,0.000717875
45,515.395,1.38817,0.90266,0.00508,0.6364,0.50321,0.55528,0.3247,1.82784,1.76458,0.00906,0.0007055,0.0007055,0.0007055
46,526.217,1.33939,0.88945,0.00505,0.65167,0.48672,0.59675,0.35219,1.86278,1.6398,0.00907,0.000693125,0.000693125,0.000693125
47,537.02,1.28123,0.85066,0.00462,0.61754,0.56376,0.59387,0.35941,1.75623,1.8884,0.00856,0.00068075,0.00068075,0.00068075
48,548.549,1.3587,0.92018,0.00514,0.64194,0.58883,0.62554,0.32854,1.87164,1.6519,0.00895,0.000668375,0.000668375,0.000668375
49,559.477,1.36979,0.86497,0.00511,0.74843,0.4694,0.59397,0.36157,1.81751,1.96401,0.00868,0.000656,0.000656,0.000656
50,570.672,1.33365,0.85301,0.0049,0.70545,0.52244,0.61682,0.34857,1.85956,1.70719,0.00883,0.000643625,0.000643625,0.000643625
51,581.732,1.27536,0.88084,0.00489,0.62181,0.63237,0.66362,0.38915,1.7428,1.70009,0.00861,0.00063125,0.00063125,0.00063125
52,593.75,1.32901,0.82817,0.00503,0.62982,0.63781,0.6661,0.36393,1.83281,1.57598,0.00925,0.000618875,0.000618875,0.000618875
53,604.938,1.26633,0.84724,0.00477,0.60833,0.67947,0.64439,0.37839,1.82391,1.47405,0.00912,0.0006065,0.0006065,0.0006065
54,616.255,1.28861,0.88439,0.00475,0.5217,0.63819,0.62381,0.38297,1.77924,1.71432,0.00851,0.000594125,0.000594125,0.000594125
55,627.412,1.26822,0.79414,0.00482,0.72554,0.48436,0.62564,0.36691,1.76936,1.62617,0.00834,0.00058175,0.00058175,0.00058175
56,638.595,1.26161,0.79487,0.00466,0.54444,0.60901,0.60581,0.36223,1.77789,1.81032,0.00845,0.000569375,0.000569375,0.000569375
57,649.581,1.24777,0.80162,0.00499,0.52923,0.65642,0.64005,0.37697,1.8352,1.62436,0.00888,0.000557,0.000557,0.000557
58,660.552,1.28493,0.78716,0.0046,0.61254,0.5763,0.61806,0.36224,1.7897,1.86418,0.00852,0.000544625,0.000544625,0.000544625
59,671.612,1.29165,0.78313,0.0048,0.65477,0.52621,0.61378,0.37226,1.73658,1.68294,0.00836,0.00053225,0.00053225,0.00053225
60,682.465,1.25776,0.78574,0.00476,0.62235,0.54185,0.58096,0.35717,1.76073,1.68981,0.00821,0.000519875,0.000519875,0.000519875
61,693.369,1.26391,0.7866,0.00473,0.73368,0.52494,0.63329,0.37602,1.74623,1.70504,0.00817,0.0005075,0.0005075,0.0005075
62,704.706,1.21669,0.76501,0.00485,0.63312,0.57958,0.63985,0.3779,1.78271,1.65487,0.0087,0.000495125,0.000495125,0.000495125
63,715.744,1.27208,0.81197,0.00484,0.59995,0.6309,0.57642,0.33398,1.79294,1.71118,0.00851,0.00048275,0.00048275,0.00048275
64,726.961,1.21029,0.71216,0.00453,0.61845,0.5438,0.59417,0.37768,1.7586,1.90871,0.00849,0.000470375,0.000470375,0.000470375
65,738.217,1.23154,0.67475,0.00465,0.6408,0.53517,0.60089,0.39292,1.70707,1.88684,0.00816,0.000458,0.000458,0.000458
66,750.763,1.20484,0.73299,0.00431,0.67872,0.50856,0.59281,0.37302,1.75744,1.8183,0.00866,0.000445625,0.000445625,0.000445625
67,762.022,1.16703,0.69294,0.00411,0.63388,0.5912,0.62021,0.40121,1.73526,1.72908,0.00826,0.00043325,0.00043325,0.00043325
68,773.43,1.18489,0.68861,0.00425,0.59813,0.60122,0.62717,0.39591,1.71034,1.707,0.00811,0.000420875,0.000420875,0.000420875
69,784.94,1.14816,0.67027,0.00401,0.66248,0.60175,0.63597,0.37963,1.70764,1.71844,0.00795,0.0004085,0.0004085,0.0004085
70,796.164,1.15094,0.65337,0.00427,0.67642,0.56672,0.63254,0.40178,1.75475,1.69268,0.00833,0.000396125,0.000396125,0.000396125
71,808.25,1.19461,0.6519,0.0042,0.59958,0.65872,0.64416,0.39563,1.7276,1.72918,0.00816,0.00038375,0.00038375,0.00038375
72,819.649,1.14178,0.69422,0.00423,0.60486,0.65317,0.64276,0.396,1.79637,1.74403,0.00867,0.000371375,0.000371375,0.000371375
73,830.914,1.07494,0.62467,0.00431,0.61166,0.56416,0.63688,0.39483,1.79393,1.70322,0.00855,0.000359,0.000359,0.000359
